,Nom,variable,value
0,Pelé Yohann,Match1,
1,Mandanda Steve,Match1,5.0
2,González Álvaro,Match1,
3,Sakai Hiroki,Match1,4.0
4,Amavi Jordan,Match1,4.0
5,Kamara Boubacar,Match1,4.0
6,Perrin Lucas,Match1,
7,Caleta-Car Duje,Match1,3.0
8,Sarr Bouna,Match1,4.5
9,Strootman Kevin,Match1,4.0
10,Luiz Gustavo,Match1,5.0
11,Thauvin Florian,Match1,
12,Lopez Maxime,Match1,
13,Sanson Morgan,Match1,4.0
14,Payet Dimitri,Match1,4.0
15,Chabrolle Florian,Match1,4.0
16,Aké Marley,Match1,
17,Khaoui Saif-Eddine,Match1,
18,Rongier Valentin,Match1,
19,Radonjic Nemanja,Match1,3.0
20,Germain Valère,Match1,3.5
21,Lihadji Isaac,Match1,
22,Benedetto Dario,Match1,4.0
23,Lopes Anthony,Match1,6.0
24,Tatarusanu Ciprian,Match1,
25,Kone Youssouf,Match1,6.0
26,Rafael,Match1,
27,Yanga-Mbiwa Mapou,Match1,
28,Marçal,Match1,
29,Marcelo,Match1,
30,Dubois Léo,Match1,6.0
31,Denayer Jason,Match1,7.0
32,Solet Oumar,Match1,
33,Andersen Joachim,Match1,6.0
34,Tete Kenny,Match1,5.0
35,Tousart Lucas,Match1,7.5
36,Thiago Mendes,Match1,6.0
37,Terrier Martin,Match1,
38,Jean Lucas,Match1,5.0
39,Reine-Adélaïde Jeff,Match1,
40,Aouar Houssem,Match1,5.5
41,Depay Memphis,Match1,7.0
42,Traoré Bertrand,Match1,7.0
43,Gouiri Amine,Match1,
44,Dembele Moussa,Match1,7.0
45,Cornet Maxwel,Match1,5.0
46,Areola Alphonse,Match1,6.0
47,Bulka Marcin,Match1,
48,Rico Sergio,Match1,
49,Navas Keylor,Match1,
50,Thiago Silva,Match1,6.0
51,Marquinhos,Match1,6.5
52,Diallo Abdou,Match1,5.5
53,Kimpembe Presnel,Match1,
54,Kurzawa Layvin,Match1,
55,Dagba Colin,Match1,
56,Kehrer Thilo,Match1,5.5
57,Bernat Juan,Match1,6.0
58,Bakker Mitchel,Match1,
59,Mbe Soh Loïc,Match1,
60,Meunier Thomas,Match1,4.5
61,Verratti Marco,Match1,6.5
62,Sarabia Pablo,Match1,4.0
63,Di María Ángel,Match1,7.0
64,Herrera Ander,Match1,
65,Draxler Julian,Match1,5.0
66,Choupo-Moting Eric Maxim,Match1,
