info_idplayer,info_lastname,info_actualclub
168399,Norris,Burnley
172782,Brownhill,Burnley
17761,Tarkowski,Burnley
17997,Bardsley,Burnley
217401,Benson,Burnley
39487,Pieters,Burnley
40145,Cork,Burnley
40845,Stephens,Burnley
41674,Long,Burnley
433154,McNeil,Burnley
44683,Rodriguez,Burnley
44699,Barnes,Burnley
51927,Mee,Burnley
60551,Westwood,Burnley
60586,Gudmundsson,Burnley
60586,Johann Gudmundsson,Burnley
60689,Wood,Burnley
68983,Lowton,Burnley
81183,Vydra,Burnley
90517,Brady,Burnley
98747,Pope,Burnley
101582,Fred,Man. United
106760,Shaw,Man. United
141746,Bruno Fernandes,Man. United
148225,Martial,Man. United
152590,Alex Telles,Man. United
172649,Henderson,Man. United
172649,Dean Henderson,Man. United
176297,Rashford,Man. United
180184,van de Beek,Man. United
180804,Tuanzebe,Man. United
195851,McTominay,Man. United
197365,Bailly,Man. United
200617,James,Man. United
214590,Wan-Bissaka,Man. United
220688,Greenwood,Man. United
40720,Cavani,Man. United
43670,Mata,Man. United
51940,de Gea,Man. United
62398,Matic,Man. United
74208,Pogba,Man. United
95658,Maguire,Man. United
102826,Mendy,Man. City
103025,Mahrez,Man. City
103955,Sterling,Man. City
121145,João Cancelo,Man. City
121160,Ederson,Man. City
164484,Steffen,Man. City
165809,Bernardo Silva,Man. City
171314,Rúben Dias,Man. City
205651,Gabriel Jesus,Man. City
206325,Zinchenko,Man. City
209244,Foden,Man. City
220566,Rodrigo,Man. City
224444,Torres,Man. City
245719,Harwood-Bellis,Man. City
27789,Fernandinho,Man. City
439510,Mbete,Man. City
58621,Walker,Man. City
59859,Gündogan,Man. City
61366,De Bruyne,Man. City
97299,Stones,Man. City
108813,Walton,Brighton
109345,March,Brighton
109345,Solly March,Brighton
110735,Webster,Brighton
111478,Veltman,Brighton
115382,Maupay,Brighton
116216,Trossard,Brighton
198869,White,Brighton
204676,Zeqiri,Brighton
209362,Bernardo,Brighton
215059,Sánchez,Brighton
215062,Sanders,Brighton
230127,Tau,Brighton
243016,Mac Allister,Brighton
244848,Jenks,Brighton
440241,Weir,Brighton
465572,Khadra,Brighton
60307,Groß,Brighton
66242,Pröpper,Brighton
78916,Burn,Brighton
83299,Dunk,Brighton
107613,Saïss,Wolverhampton
151589,Dendoncker,Wolverhampton
171317,Rúben Neves,Wolverhampton
19236,Ruddy,Wolverhampton
19624,João Moutinho,Wolverhampton
200402,Nélson Semedo,Wolverhampton
209353,Cutrone,Wolverhampton
214048,Kilman,Wolverhampton
222531,Gibbs-White,Wolverhampton
225368,Shabani,Wolverhampton
247632,Pedro Neto,Wolverhampton
38533,Rui Patrício,Wolverhampton
437688,Richards,Wolverhampton
437858,Vitinha,Wolverhampton
441271,Hoever,Wolverhampton
443296,Corbeanu,Wolverhampton
448514,Aït-Nouri,Wolverhampton
448514,Ait Nouri,Wolverhampton
449988,Fábio Silva,Wolverhampton
449988,Fabio Silva,Wolverhampton
465551,Lonwijk,Wolverhampton
94147,Coady,Wolverhampton
100649,Bernard,Everton
101188,Digne,Everton
106611,Keane,Everton
111234,Pickford,Everton
111782,Olsen,Everton
120250,André Gomes,Everton
121599,Doucouré,Everton
153133,Iwobi,Everton
153673,Kenny,Everton
164511,Mina,Everton
173807,Davies,Everton
194164,Holgate,Everton
198826,Godfrey,Everton
212319,Richarlison,Everton
232826,Gordon,Everton
495542,Nkounkou,Everton
55422,Sigurdsson,Everton
55422,Gylfi Sigurdsson,Everton
59949,Coleman,Everton
60025,Rodríguez,Everton
