,club,firstname,id,lastname,position,quotation,teamId,ultraPosition,avgRate,sumGoals,currentChampionship,percentageStarter
0,Betis,,player_10316,Joaquín,3,14,185,32,5.3,0.0,3.0,0.56
1,Real Sociedad,Miguel Ángel,player_16872,Moyá,1,7,188,10,-,0.0,3.0,0.0
2,Sevilla,Jesús,player_17740,Navas,2,23,179,21,5.4,0.0,3.0,0.89
3,Real Madrid,Sergio,player_17861,Ramos,2,31,186,20,5.8,2.0,3.0,0.78
4,Granada,Roberto,player_17926,Soldado,4,15,5683,40,4.5,3.0,3.0,0.56
5,Villarreal,Raúl,player_18003,Albiol,2,14,449,20,5.3,0.0,3.0,1.0
6,Barcelona,Gerard,player_18221,Piqué,2,14,178,20,5.5,0.0,3.0,0.44
7,Bilbao,,player_18498,Raúl García,4,15,174,40,4.8,1.0,3.0,0.61
8,Barcelona,Lionel,player_19054,Messi,4,56,178,40,6.6,11.0,3.0,0.89
9,Real Madrid,Karim,player_19927,Benzema,4,49,186,40,5.9,8.0,3.0,0.89
10,Elche,Antonio,player_20399,Barragán,2,11,954,21,4.8,0.0,3.0,0.72
11,Real Sociedad,David,player_20664,Silva,3,21,188,32,5.6,1.0,3.0,0.5
12,Eibar,,player_27672,Pape Diop,3,10,953,31,5.1,0.0,3.0,0.67
13,Betis,Claudio,player_33148,Bravo,1,13,185,10,5.2,0.0,3.0,0.5
14,Sevilla,Ivan,player_34703,Rakitic,3,16,179,31,5.5,1.0,3.0,0.72
15,Real Madrid,Luka,player_37055,Modric,3,32,186,32,5.8,3.0,3.0,0.8300000000000001
16,Betis,Andrés,player_37064,Guardado,3,8,185,31,4.9,0.0,3.0,0.28
17,Elche,,player_38101,Nino,4,7,954,40,4.5,0.0,3.0,0.0
18,Celta,Sergio,player_38400,Álvarez,1,1,176,10,-,0.0,3.0,0.0
19,Real Sociedad,,player_38411,Nacho Monreal,2,11,188,21,5.4,1.0,3.0,0.44
20,Villarreal,Etienne,player_38439,Capoue,3,6,449,31,6.5,0.0,3.0,0.06
21,Atlético,,player_39336,Luis Suárez,4,38,175,40,5.7,9.0,3.0,0.67
22,Osasuna,Adrián,player_39498,López,4,6,450,40,4.4,1.0,3.0,0.22
23,Real Madrid,,player_39563,Marcelo,2,7,186,21,4.8,0.0,3.0,0.33
24,Celta,Iago,player_40270,Aspas,4,42,176,40,6.1,9.0,3.0,0.9400000000000001
25,Valladolid,Roberto,player_40694,Jiménez,1,7,192,10,4.9,0.0,3.0,0.33
26,Bilbao,Yuri,player_42670,Berchiche,2,24,174,21,5.5,0.0,3.0,0.8300000000000001
27,Valencia,Kevin,player_42779,Gameiro,4,10,191,40,4.5,1.0,3.0,0.28
28,Real Madrid,,player_42786,Eden Hazard,4,13,186,40,4.8,1.0,3.0,0.22
29,Eibar,Pedro,player_42839,León,3,10,953,32,5.0,1.0,3.0,0.28
30,Huesca,Pedro,player_42844,López,2,8,2894,21,5.2,0.0,3.0,0.39
31,Cadix,Álvaro,player_42892,Negredo,4,11,1737,40,4.8,4.0,3.0,0.72
32,Real Madrid,Toni,player_44989,Kroos,3,28,186,31,5.8,1.0,3.0,0.78
33,Barcelona,Miralem,player_46696,Pjanic,3,12,178,31,5.3,0.0,3.0,0.17
34,Villarreal,Sergio,player_48772,Asenjo,1,21,449,10,5.2,0.0,3.0,1.0
35,Valladolid,Fabián,player_48854,Orellana,3,19,192,32,5.4,2.0,3.0,0.72
36,Alavés,Víctor,player_49370,Laguardia,2,10,173,20,4.9,0.0,3.0,0.8300000000000001
37,Huesca,,player_51792,Andrés Fernández,1,7,2894,10,4.8,0.0,3.0,0.61
38,Sevilla,Tomás,player_51945,Vaclik,1,7,179,10,5.0,0.0,3.0,0.17
39,Betis,Víctor,player_51948,Ruiz,2,10,185,20,4.7,0.0,3.0,0.44
40,Villarreal,Daniel,player_51952,Parejo,3,24,449,32,6.0,2.0,3.0,0.89
41,Barcelona,Jordi,player_52356,Alba,2,13,178,21,5.3,1.0,3.0,0.89
42,Sevilla,,player_52538,Fernando,3,20,179,31,5.9,0.0,3.0,0.78
43,Huesca,Dimitrios,player_53020,Siovas,2,12,2894,20,4.8,1.0,3.0,0.9400000000000001
44,Sevilla,,player_53041,Luuk de Jong,4,13,179,40,4.6,2.0,3.0,0.39
45,Betis,,player_53142,Sidnei,2,6,185,20,4.4,0.0,3.0,0.28
46,Barcelona,,player_54104,Sergio Busquets,3,19,178,31,5.3,0.0,3.0,0.78
47,Villarreal,Vicente,player_54513,Iborra,3,9,449,31,5.5,0.0,3.0,0.56
48,Osasuna,Facundo,player_54794,Roncaglia,2,9,450,20,4.9,1.0,3.0,0.61
49,Cadix,,player_54806,Augusto Fernández,3,5,1737,31,4.9,0.0,3.0,0.11
50,Cadix,Álvaro,player_55175,Giménez,4,9,1737,40,4.6,2.0,3.0,0.17
51,Levante,,player_55268,Coke,2,8,855,21,5.0,0.0,3.0,0.22
52,Granada,Víctor,player_55315,Díaz,2,6,5683,21,4.4,0.0,3.0,0.06
53,Alavés,,player_55378,Manu García,3,9,173,31,4.9,0.0,3.0,0.11
54,Cadix,,player_55412,Juan Cala,2,10,1737,20,4.9,0.0,3.0,0.78
55,Eibar,,player_56271,Quique González,4,5,953,40,4.4,0.0,3.0,0.0
56,Getafe,Ángel,player_56419,Rodríguez,4,14,1450,40,4.7,5.0,3.0,0.39
57,Betis,Sergio,player_56448,Canales,3,21,185,32,6.0,4.0,3.0,0.61
58,Valencia,Daniel,player_56624,Wass,2,15,191,21,5.2,1.0,3.0,1.0
59,Bilbao,Mikel,player_56680,Balenziaga,2,6,174,21,4.6,0.0,3.0,0.17
60,Villarreal,Francis,player_56864,Coquelin,3,8,449,31,5.2,0.0,3.0,0.22
61,Osasuna,Oier,player_56916,Sanjurjo,3,12,450,31,4.9,0.0,3.0,0.78
62,Valencia,Eliaquim,player_57112,Mangala,2,6,191,20,4.9,0.0,3.0,0.22
63,Elche,Iván,player_57400,Marcone,3,12,954,31,5.0,0.0,3.0,0.72
64,Getafe,Xabier,player_58637,Etxeita,2,6,1450,20,4.6,0.0,3.0,0.33
65,Villarreal,Jaume,player_58792,Costa,2,7,449,21,5,0.0,3.0,0.0
66,Valladolid,,player_58819,Kiko Olivas,2,4,192,20,-,0.0,3.0,0.0
67,Valladolid,,player_58876,Míchel,3,7,192,32,4.9,1.0,3.0,0.28
68,Bilbao,Óscar,player_59062,De Marcos,2,10,174,21,5.1,0.0,3.0,0.28
69,Eibar,,player_59140,Cote,2,4,953,21,-,0.0,3.0,0.0
70,Cadix,Alberto,player_59339,Perea,3,11,1737,32,5.3,0.0,3.0,0.33
71,Granada,Maxime,player_59963,Gonalons,3,13,5683,31,5.4,0.0,3.0,0.61
72,Huesca,Pedro,player_60012,Mosquera,3,11,2894,31,4.9,0.0,3.0,1.0
73,Real Madrid,Thibaut,player_60772,Courtois,1,22,186,10,5.4,0.0,3.0,1.0
74,Real Madrid,,player_61256,Casemiro,3,30,186,31,5.7,3.0,3.0,0.72
75,Alavés,,player_61316,Joselu,4,16,173,40,5.3,3.0,3.0,0.8300000000000001
76,Eibar,,player_61597,Kike García,4,16,953,40,5.1,5.0,3.0,0.89
77,Osasuna,,player_61814,Raúl Navas,2,4,450,20,3.5,0.0,3.0,0.11
78,Sevilla,Sergio,player_62991,Escudero,2,7,179,21,5.4,1.0,3.0,0.11
79,Huesca,Borja,player_63904,García,3,14,2894,32,5.2,1.0,3.0,0.72
80,Atlético,Stefan,player_65807,Savic,2,16,175,20,5.5,0.0,3.0,0.78
81,Getafe,Allan-Roméo,player_67527,Nyom,2,9,1450,21,4.9,0.0,3.0,0.78
82,Cadix,Pedro,player_67759,Alcalá,2,6,1737,20,4.8,0.0,3.0,0.17
83,Atlético,Sime,player_68353,Vrsaljko,2,7,175,21,4.8,0.0,3.0,0.11
84,Barcelona,Martin,player_68690,Braithwaite,4,14,178,40,4.7,2.0,3.0,0.44
85,Barcelona,,player_69752,Neto,1,7,178,10,5.3,0.0,3.0,0.33
86,Osasuna,Rubén,player_71679,Martínez,1,9,450,10,3.7,0.0,3.0,0.17
87,Sevilla,Nemanja,player_72154,Gudelj,3,10,179,31,5.2,0.0,3.0,0.17
88,Valencia,Jasper,player_72162,Cillessen,1,1,191,10,-,0.0,3.0,0.0
89,Real Sociedad,,player_73314,Willian José,4,10,188,40,5.1,3.0,3.0,0.44
90,Bilbao,Iker,player_76012,Muniain,4,15,174,40,5.4,4.0,3.0,0.8300000000000001
91,Celta,Hugo,player_76508,Mallo,2,11,176,21,4.5,1.0,3.0,0.8300000000000001
92,Eibar,Yoel,player_76510,Rodríguez,1,7,953,10,-,0.0,3.0,0.0
93,Granada,Jorge,player_76555,Molina,4,16,5683,40,4.6,3.0,3.0,0.39
94,Huesca,Mikel,player_76558,Rico,3,14,2894,31,5.2,1.0,3.0,0.72
95,Granada,Ángel,player_76597,Montoro,3,7,5683,32,5.6,1.0,3.0,0.39
96,Villarreal,,player_76610,Mario Gaspar,2,11,449,21,5.2,0.0,3.0,0.78
97,Barcelona,Antoine,player_76650,Griezmann,4,29,178,40,5.5,5.0,3.0,0.8300000000000001
98,Huesca,Damián,player_76744,Musto,3,5,2894,31,-,0.0,3.0,0.0
99,Levante,,player_77039,Toño,2,5,855,21,4.6,0.0,3.0,0.17
100,Barcelona,Marc-André,player_77318,ter Stegen,1,16,178,10,5.4,0.0,3.0,0.67
101,Alavés,Florian,player_77359,Lejeune,2,10,173,20,4.8,0.0,3.0,0.8300000000000001
102,Atlético,,player_77390,Koke,3,20,175,32,5.5,0.0,3.0,0.78
103,Atlético,Kieran,player_77794,Trippier,2,17,175,21,5.8,0.0,3.0,0.78
104,Betis,Joel,player_78315,Robles,1,9,185,10,4.7,0.0,3.0,0.5
105,Levante,Cheick,player_78323,Doukouré,3,1,855,31,-,0.0,3.0,0.0
106,Huesca,Shinji,player_78412,Okazaki,4,13,2894,40,4.5,1.0,3.0,0.5
107,Osasuna,,player_78874,Iñigo Pérez,3,9,450,31,4.9,0.0,3.0,0.67
108,Sevilla,Aleix,player_79627,Vidal,3,7,179,32,4.9,0.0,3.0,0.11
109,Real Madrid,,player_80209,Isco,3,7,186,32,5.0,0.0,3.0,0.17
110,Betis,,player_80287,Juanmi,4,5,185,40,4.0,0.0,3.0,0.11
111,Eibar,Sergi,player_80791,Enrich,4,8,953,40,4.4,1.0,3.0,0.17
112,Getafe,Francisco,player_80795,Portillo,3,6,1450,32,5.0,0.0,3.0,0.11
113,Valladolid,Raúl,player_80908,García,2,10,192,21,4.9,1.0,3.0,0.28
114,Alavés,Tomás,player_80956,Pina,3,9,173,31,5.3,1.0,3.0,0.72
115,Levante,Aitor,player_80993,Fernández,1,18,855,10,5.4,0.0,3.0,0.8300000000000001
116,Betis,Marc,player_81138,Bartra,2,7,185,20,4.3,0.0,3.0,0.72
117,Atlético,Jan,player_81352,Oblak,1,26,175,10,5.8,0.0,3.0,0.89
118,Levante,Sergio,player_82418,León,4,11,855,40,4.4,1.0,3.0,0.06
119,Alavés,John,player_82970,Guidetti,4,5,173,40,4.4,0.0,3.0,0.0
120,Getafe,Abdoulaye,player_83330,Diaby,3,4,1450,32,4.5,0.0,3.0,0.0
121,Elche,,player_83553,Fidel,3,19,954,32,5.4,4.0,3.0,0.78
122,Eibar,Sergio,player_83578,Álvarez,3,9,953,31,4.9,0.0,3.0,0.56
123,Real Sociedad,Asier,player_84086,Illarramendi,3,1,188,31,-,0.0,3.0,0.0
124,Bilbao,Ibai,player_84471,Gómez,3,2,174,32,-,0.0,3.0,0.0
125,Barcelona,,player_84583,Philippe Coutinho,3,17,178,32,5.4,2.0,3.0,0.44
126,Osasuna,Darko,player_84700,Brasanac,3,10,450,31,4.9,1.0,3.0,0.11
127,Valladolid,Jordi,player_86148,Masip,1,17,192,10,5.4,0.0,3.0,0.67
128,Sevilla,Sergi,player_86151,Gómez,2,4,179,20,4.8,0.0,3.0,0.17
129,Betis,Martín,player_86153,Montoya,2,5,185,21,4.6,0.0,3.0,0.11
130,Barcelona,Sergi,player_86157,Roberto,2,12,178,21,6.1,1.0,3.0,0.39
131,Levante,Rubén,player_86168,Rochina,3,13,855,32,5.4,0.0,3.0,0.5
132,Betis,Cristian,player_86169,Tello,3,12,185,32,5.1,4.0,3.0,0.44
133,Celta,,player_86173,Nolito,3,18,176,32,5.5,4.0,3.0,0.89
134,Atlético,,player_86399,Vitolo,3,6,175,32,4.8,0.0,3.0,0.17
135,Betis,Aissa,player_86813,Mandi,2,12,185,21,4.9,3.0,3.0,0.61
